Opportunity ID #;OG;Industry Segment;ToW;Closed Quarter;IC  -  Net Revenue;MC  -  Net Revenue;SC  -  Net Revenue;SI  -  Net Revenue;TC  -  Net Revenue;AO  -  Net Revenue;BPO  -  Net Revenue;IO  -  Net Revenue;Responsible Business Entity;Contract Extension Flag;Software Delivery;Client Location
10564992;Financial Services;FS Capital Markets;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10565014;Financial Services;FS Banking;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10565044;Resources;RS Util;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10565045;Products;PD Transp Svc;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;France
10565050;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10565065;Products;PD Con Goods & Srvcs;C;FY16Q4;S;S;S;S;S;S;S;S;Digital;Y;N;Netherlands
10565085;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10565121;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10565126;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;M;M;S;S;S;OG;Y;N;France
10565139;Products;PD Life Sciences;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10565148;Financial Services;FS Insurance;C;FY16Q3;S;S;S;S;M;S;S;S;OG;N;N;France
10565170;Communications, Media & Technology;CMT E&HT;O;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;N;France
10565252;Resources;RS Util;C;FY16Q4;S;S;S;L;S;S;S;S;Technology;N;Y;France
10565255;Communications, Media & Technology;CMT E&HT;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10565271;Resources;RS Nat Res;C;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
10565276;Communications, Media & Technology;CMT E&HT;C;FY16Q4;S;L;S;S;S;S;S;S;OG;N;N;Netherlands
10565284;Products;PD Con Goods & Srvcs;C;FY16Q4;S;S;S;S;S;S;S;S;Strategy;N;N;France
10565286;Financial Services;FS Capital Markets;C;FY16Q4;S;S;M;S;S;S;S;S;Strategy;N;N;France
10565299;Health & Public Service;H&PS Health;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10565306;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;Strategy;N;N;Netherlands
10565322;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10565327;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;Netherlands
10565487;Products;PD Retail;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10565500;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Netherlands
10565543;Resources;RS Util;O;FY16Q4;S;S;S;S;S;S;S;S;Technology;Y;N;Netherlands
10565589;Health & Public Service;H&PS Citizen Service;O;FY16Q3;S;S;S;S;S;L;S;S;Technology;Y;N;France
10565697;Products;PD Travel;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;Y;N;Netherlands
10565769;Resources;RS Util;O;FY16Q3;S;S;S;S;S;M;S;S;Technology;Y;N;Netherlands
10565786;Communications, Media & Technology;CMT E&HT;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;Netherlands
10565794;Health & Public Service;H&PS Citizen Service;C;FY16Q4;S;S;S;S;S;S;S;S;Operations;N;N;Belgium
10565801;Financial Services;FS Insurance;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10565809;Communications, Media & Technology;CMT E&HT;C;FY16Q3;S;S;S;S;S;S;S;S;Digital;N;N;Netherlands
10565812;Resources;RS Util;C;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;Y;France
10565815;Products;PD Retail;C;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;Netherlands
10565819;Products;PD Retail;O;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;Netherlands
10565892;Products;PD Life Sciences;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;France
10565898;Resources;RS Util;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10566002;Resources;RS Chem;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
10566069;Resources;RS Util;O;FY16Q3;S;S;S;S;S;S;S;S;Technology;N;N;France
10566082;Financial Services;FS Banking;O;FY16Q4;S;S;S;S;S;S;S;S;Operations;Y;N;France
10566087;Resources;RS Util;O;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;France
10566088;Resources;RS Chem;O;FY16Q4;S;S;S;S;S;S;S;S;Technology;N;N;Netherlands
10566089;Products;PD Auto;C;FY16Q4;S;M;S;S;S;S;S;S;OG;N;N;France
10566105;Products;PD Travel;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10566113;Resources;RS Util;C;FY16Q3;S;S;M;S;S;S;S;S;Strategy;N;N;Netherlands
10566120;Products;PD Retail;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10566170;Resources;RS Util;C;FY16Q4;S;S;S;S;S;S;S;S;Digital;Y;N;Netherlands
10566172;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;Digital;N;N;France
10566209;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;Netherlands
10566251;Resources;RS Util;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;Netherlands
10566344;Financial Services;FS Insurance;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10566362;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;Technology;Y;Y;Belgium
10566381;Communications, Media & Technology;CMT E&HT;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;France
10566399;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10566462;Communications, Media & Technology;CMT E&HT;C;FY16Q4;S;S;S;S;S;S;S;S;Digital;N;N;France
10566582;Products;PD Retail;C;FY16Q4;S;S;S;S;S;S;S;S;OG;N;N;Netherlands
10566586;Products;PD Con Goods & Srvcs;C;FY16Q3;S;S;S;S;S;S;S;S;Operations;Y;N;Netherlands
10566619;Resources;RS Util;C;FY16Q3;S;S;S;M;S;S;S;S;Technology;Y;N;Netherlands
10566636;Products;PD Con Goods & Srvcs;C;FY16Q4;S;S;S;S;M;S;S;S;OG;Y;Y;Belgium
10566637;Resources;RS Chem;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10566642;Communications, Media & Technology;CMT C&M;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10566650;Financial Services;FS Banking;C;FY16Q3;S;S;S;S;S;S;S;S;Strategy;N;N;France
10566659;Communications, Media & Technology;CMT E&HT;C;FY16Q3;S;S;S;S;S;S;S;S;Technology;Y;N;France
10566689;Products;PD Travel;O;FY16Q4;S;S;S;S;S;S;S;S;Operations;Y;N;Netherlands
10566690;Products;PD Ind Equip;C;FY16Q4;S;S;S;S;S;S;S;S;Technology;Y;N;France
10566709;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
10566790;Financial Services;FS Insurance;O;FY16Q3;S;S;S;S;S;S;M;S;Operations;N;N;France
10566863;Products;PD Auto;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10566920;Resources;RS Energy;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;Netherlands
10567321;Resources;RS Util;CO;FY16Q4;S;S;S;S;S;S;M;S;Operations;N;N;France
10567327;Resources;RS Util;C;FY16Q4;S;M;S;S;S;S;S;S;OG;N;N;France
10567364;Resources;RS Energy;C;FY16Q4;S;S;M;S;S;S;S;S;Strategy;N;N;France
10567375;Products;PD Retail;C;FY16Q3;S;S;S;S;S;S;S;S;OG;N;N;France
10567388;Financial Services;FS Insurance;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;Belgium
10567425;Products;PD Retail;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10567474;Communications, Media & Technology;CMT SW&P;CO;FY16Q4;S;S;S;M;S;M;S;S;Technology;N;Y;Netherlands
10567500;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10567504;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10567516;Communications, Media & Technology;CMT C&M;C;FY16Q3;S;S;S;S;S;S;S;S;OG;Y;N;France
10567744;Financial Services;FS Banking;C;FY16Q4;S;S;S;S;S;S;S;S;OG;Y;N;France
